"Record_number","Entry_date","Study_number","Author","Duplicate_record","Quality_flag","Contributor","Country","Region","Site_name","Study_midyear","YearsOfData","Latitude","Longitude","Elevation","Manipulation","Manipulation_level","Age_ecosystem","Age_disturbance","Species","Biome","Ecosystem_type","Ecosystem_state","Leaf_habit","Stage","Soil_type","Soil_drainage","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Rs_annual_err","Rs_interann_err","Rs_max","Rs_maxday","Rs_min","Rs_minday","Rlitter_annual","Ra_annual","Rh_annual","RC_annual","Rs_spring","Rs_summer","Rs_autumn","Rs_winter","Rs_growingseason","Rs_wet","Rs_dry","RC_seasonal","RC_season","Model_type","Temp_effect","Model_output_units","Model_temp_min","Model_temp_max","Model_N","Model_R2","T_depth","Model_paramA","Model_paramB","Model_paramC","Model_paramD","Model_paramE","WC_effect","R10","Q10_0_10","Q10_5_15","Q10_10_20","Q10_0_20","Q10_other1","Q10_other1_temp_min","Q10_other1_temp_max","Q10_other2","Q10_other2_temp_min","Q10_other2_temp_max","GPP","ER","NEP","NPP","ANPP","BNPP","NPP_FR","TBCA","Litter_flux","Rootlitter_flux","TotDet_flux","Ndep","LAI","BA","C_veg_total","C_AG","C_BG","C_CR","C_FR","C_litter","C_soilmineral","C_soildepth","Notes","Lat_Adj","Long_Adj","Lat_Round","Long_Round","MAP_Del","MAT_Del","PAnnual_Del","TAnnual_Del","Year","PRECIP_SD","TAIR_SD","SPI"
2777,"00:00.0",205,"Yoneda",NA,"","BBL","Japan","","Minamata Forest-Q1",1970,1,32.17,130.58,500,"None","",NA,NA,"Cyclobalanopsis gilva","Temperate","Forest","Natural","Deciduous","Mature","","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alkali absorption",30,1,"",843,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg CO2/m2/hr",0,25,NA,0.95,NA,68.8,0.108,0,NA,NA,"",1.28,2.94,2.94,2.94,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.17,0.42,32.25,130.75,2338.02,15.39,2550.2,15.22,1970,383.558,0.432,0.553
2778,"00:00.0",205,"Yoneda",NA,"","BBL","Japan","","Minamata Forest-Q2",1970,1,32.17,130.58,500,"None","",NA,NA,"Cyclobalanopsis salicina","Temperate","Forest","Natural","Deciduous","Mature","","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alkali absorption",30,1,"",1220,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg CO2/m2/hr",0,25,NA,0.97,NA,121,0.099,0,NA,NA,"",2.06,2.69,2.69,2.69,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.17,0.42,32.25,130.75,2338.02,15.39,2550.2,15.22,1970,383.558,0.432,0.553
2779,"00:00.0",205,"Yoneda",NA,"","BBL","Japan","","Minamata Forest-Q4",1970,1,32.17,130.58,500,"None","",NA,NA,"Machilus thunbergii","Temperate","Forest","Natural","Deciduous","Mature","","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alkali absorption",30,1,"",933,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg CO2/m2/hr",0,25,NA,0.96,NA,107,0.09,0,NA,NA,"",1.66,2.46,2.46,2.46,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.17,0.42,32.25,130.75,2338.02,15.39,2550.2,15.22,1970,383.558,0.432,0.553
2780,"00:00.0",205,"Yoneda",NA,"","BBL","Japan","","Minamata Forest-Q18",1970,1,32.17,130.58,500,"None","",NA,NA,"Cyclobalanopsis acuta","Temperate","Forest","Natural","Deciduous","Mature","","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alkali absorption",30,1,"",1110,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg CO2/m2/hr",0,25,NA,0.92,NA,160,0.076,0,NA,NA,"",2.16,2.14,2.14,2.14,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.17,0.42,32.25,130.75,2338.02,15.39,2550.2,15.22,1970,383.558,0.432,0.553
2781,"00:00.0",205,"Yoneda",NA,"","BBL","Japan","","Minamata Forest-P2",1971,1,32.17,130.58,500,"None","",NA,NA,"Castanopsis cuspidata","Temperate","Forest","Natural","Evergreen","Mature","","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alkali absorption",30,1,"Subtraction",1082,NA,2,NA,NA,NA,NA,271,178,904,0.16,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg CO2/m2/hr",0,25,NA,0.97,NA,89.1,0.106,0,NA,NA,"",1.62,2.89,2.89,2.89,2.89,NA,NA,NA,NA,NA,NA,2430,NA,NA,NA,NA,NA,NA,NA,379,196,575,NA,NA,NA,NA,18880,4620,NA,NA,9380,NA,NA,"",-0.17,0.42,32.25,130.75,2338.02,15.39,2397.6,15.19,1971,383.558,0.432,0.155
2782,"00:00.0",205,"Yoneda",NA,"","BBL","Japan","","Minamata Forest-Q1",1971,1,32.17,130.58,500,"None","",NA,NA,"Cyclobalanopsis gilva","Temperate","Forest","Natural","Deciduous","Mature","","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alkali absorption",30,1,"",841,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg CO2/m2/hr",0,25,NA,0.95,NA,68.8,0.108,0,NA,NA,"",1.28,2.94,2.94,2.94,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.17,0.42,32.25,130.75,2338.02,15.39,2397.6,15.19,1971,383.558,0.432,0.155
2783,"00:00.0",205,"Yoneda",NA,"","BBL","Japan","","Minamata Forest-Q2",1971,1,32.17,130.58,500,"None","",NA,NA,"Cyclobalanopsis salicina","Temperate","Forest","Natural","Deciduous","Mature","","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alkali absorption",30,1,"",1218,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg CO2/m2/hr",0,25,NA,0.97,NA,121,0.099,0,NA,NA,"",2.06,2.69,2.69,2.69,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.17,0.42,32.25,130.75,2338.02,15.39,2397.6,15.19,1971,383.558,0.432,0.155
2784,"00:00.0",205,"Yoneda",NA,"","BBL","Japan","","Minamata Forest-Q4",1971,1,32.17,130.58,500,"None","",NA,NA,"Machilus thunbergii","Temperate","Forest","Natural","Deciduous","Mature","","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alkali absorption",30,1,"",932,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg CO2/m2/hr",0,25,NA,0.96,NA,107,0.09,0,NA,NA,"",1.66,2.46,2.46,2.46,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.17,0.42,32.25,130.75,2338.02,15.39,2397.6,15.19,1971,383.558,0.432,0.155
2785,"00:00.0",205,"Yoneda",NA,"","BBL","Japan","","Minamata Forest-Q18",1971,1,32.17,130.58,500,"None","",NA,NA,"Cyclobalanopsis acuta","Temperate","Forest","Natural","Deciduous","Mature","","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alkali absorption",30,1,"",1110,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg CO2/m2/hr",0,25,NA,0.92,NA,160,0.076,0,NA,NA,"",2.16,2.14,2.14,2.14,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-0.17,0.42,32.25,130.75,2338.02,15.39,2397.6,15.19,1971,383.558,0.432,0.155
2431,"00:00.0",211,"Chapman",NA,"Q03","BBL","United Kingdom","","",1976,1,50.67,-1.92,NA,"None","",NA,NA,"Calluna vulgaris","Temperate","Shrubland","Natural","Evergreen","Mature","Sandy","Dry",NA,NA,NA,NA,NA,10.7,800,NA,NA,NA,"Alkali absorption",NA,NA,"Extraction",1105,NA,NA,NA,NA,NA,NA,115,800,305,0.72,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential (ln1), ln(R)=a+b(T-c)","Positive","g CO2/m2/hr",2,18,NA,0.82,3,-2.07,0.08,0,NA,NA,"",1.84,2.32,2.32,2.32,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Year of study not given",0.33,-0.08,50.75,-1.75,795.16,10.27,683,10.49,1976,139.853,0.639,-0.802
1651,"00:00.0",267,"Gupta",NA,"","BBL","India","","Kurukshetra",1975.5,1,29.97,76.18,250,"None","",NA,NA,"Mix","Tropical","Grassland","Natural","Deciduous","Mature","Alluvial","Dry",NA,NA,NA,NA,NA,24.5,661,NA,NA,NA,"Soda lime",10,1,"Comparison",470,NA,NA,NA,NA,NA,NA,NA,197,273,0.42,NA,NA,NA,NA,NA,NA,NA,NA,"","Linear, R=a+b(T-c)","Positive","mg CO2/m2/hr",15,35,NA,0.69,-200,-7.8,8.77,0,NA,NA,"Positive",NA,NA,NA,NA,NA,1.6,15,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.03,-0.18,29.75,76.25,507.49,24.45,668,24.35,1976,164.558,0.43,0.975
141,"00:00.0",316,"Nakane 1983",NA,"","BBL","Japan","","Fuchu",1980,1,34.38,132.45,NA,"None","",NA,80,"Pinus densiflora","Temperate","Forest","Unmanaged","Evergreen","Mature","Sandy loam","Dry",NA,NA,NA,NA,NA,15,1544,NA,NA,NA,"KOH trap",15,1,"Comparison",1299,NA,NA,NA,NA,NA,NA,NA,525,774,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg CO2/m2/hr",4,30,NA,NA,NA,133,0.09,0,NA,NA,"",2.06,2.45,2.45,2.45,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7695,NA,845,NA,NA,NA,NA,"",-0.38,-0.45,34.25,132.25,1455.51,16.09,1971.3,15.21,1980,NA,NA,NA
2472,"00:00.0",352,"Nakane",NA,"","BBL","Japan","Hiroshima","Mt. Takao",1981.5,1,34.4,132.52,NA,"None","",NA,40,"Pinus densiflora","Temperate","Forest","Natural","Evergreen","Aggrading","Sandy loam","Dry",NA,NA,NA,NA,NA,15,1544,NA,NA,NA,"Alkali absorption",15,1,"",987,NA,NA,NA,NA,NA,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg CO2/m2/hr",2,22,NA,NA,0,147,0.072,0,NA,NA,"Mixed",1.91,2.05,2.05,2.05,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,NA,NA,6870,5620,1250,730,520,NA,NA,NA,"",-0.4,0.48,34.25,132.75,1455.51,16.09,1471.3,15.86,1982,259.858,0.471,0.061
2473,"00:00.0",352,"Nakane",NA,"","BBL","Japan","Hiroshima","Mt. Takao",1980,1,34.4,132.52,NA,"None","",NA,80,"Pinus densiflora","Temperate","Forest","Natural","Evergreen","Mature","Sandy loam","Dry",NA,NA,NA,NA,NA,15,1544,NA,NA,NA,"Alkali absorption",15,1,"",1255,NA,NA,NA,NA,NA,NA,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg CO2/m2/hr",2,22,NA,NA,0,120,0.097,0,NA,NA,"Mixed",2,2.64,2.64,2.64,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.5,NA,NA,NA,NA,NA,9380,7690,1690,1110,580,NA,NA,NA,"",-0.4,0.48,34.25,132.75,1455.51,16.09,1971.3,15.21,1980,259.858,0.471,1.985
2433,"00:00.0",390,"Luken",NA,"","BBL","USA","Alaska","Bog Forest",1983,1,64.87,-148,NA,"None","",NA,NA,"Picea mariana","Boreal","Forest","Natural","Evergreen","Mature","Organic","Wet",NA,NA,NA,NA,NA,-3.5,280,NA,NA,NA,"Soda lime",14,0.25,"",144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Other","Positive","g CO2/m2/day",NA,NA,NA,NA,NA,3.47,0.1,0,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.13,0,64.75,-147.75,297.18,-2.31,239.9,-1.85,1983,74.558,1.204,-0.768
1655,"00:00.0",395,"Mathes",NA,"Q01","BBL","Germany","","Bremen rubble dump",1984,2.5,53.17,8.08,NA,"None","",NA,3,"Grasses (mix)","Temperate","Agriculture","Managed","Deciduous","Aggrading","","Dry",NA,13,NA,NA,NA,8.5,954,NA,NA,NA,"IRGA",14,1,"",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Linear, R=a+b(T^2)","Positive","mg CO2/m2/hr",0,21,NA,NA,5,11,0.42,NA,NA,NA,"None",0.31,24.67,7.84,3.88,9.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated from figure in text; heavily disturbed site",-0.17,-0.08,53.25,8.25,713.27,9.12,721.1,8.34,1984,122.626,0.837,0.064
1656,"00:00.0",395,"Mathes",NA,"Q01","BBL","Germany","","Bremen rubble dump",1984,2.5,53.17,8.08,NA,"None","",NA,3,"Lotus corniculatus","Temperate","Agriculture","Managed","Deciduous","Aggrading","","Dry",NA,13,NA,NA,NA,8.5,954,NA,NA,NA,"IRGA",14,1,"",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Linear, R=a+b(T^2)","Positive","mg CO2/m2/hr",0,21,NA,NA,5,31,0.58,NA,NA,NA,"None",0.37,3.63,4.18,3.17,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estimated from figure in text; heavily disturbed site",-0.17,-0.08,53.25,8.25,713.27,9.12,721.1,8.34,1984,122.626,0.837,0.064
